"Series Code","Country or Area Code","Country or Area","Year","Value"
"CO2","1","Australia","2020","400333.466600032"
"CO2","1","Australia","2019","416761.9334163"
"CO2","1","Australia","2018","416283.827446405"
"CO2","1","Australia","2017","414358.311523772"
"CO2","1","Australia","2016","411264.287715373"
"CO2","1","Australia","2015","401793.062460524"
"CO2","1","Australia","2014","393952.875612924"
"CO2","1","Australia","2013","397887.458385894"
"CO2","1","Australia","2012","406150.910037526"
"CO2","1","Australia","2011","403828.772713988"
"CO2","1","Australia","2010","405103.320460765"
"CO2","1","Australia","2009","407065.014946937"
"CO2","1","Australia","2008","404233.066582705"
"CO2","1","Australia","2007","399624.802668437"
"CO2","1","Australia","2006","392384.30217254"
"CO2","1","Australia","2005","386153.53309002"
"CO2","1","Australia","2004","382820.890129487"
"CO2","1","Australia","2003","369279.512308546"
"CO2","1","Australia","2002","361540.810196808"
"CO2","1","Australia","2001","357132.367483772"
"CO2","1","Australia","2000","349635.486902168"
"CO2","1","Australia","1999","343488.632899242"
"CO2","1","Australia","1998","334075.978110115"
"CO2","1","Australia","1997","320282.629502979"
"CO2","1","Australia","1996","311886.128959671"
"CO2","1","Australia","1995","305002.995518983"
"CO2","1","Australia","1994","293696.553098945"
"CO2","1","Australia","1993","288870.536763404"
"CO2","1","Australia","1992","284525.344620763"
"CO2","1","Australia","1991","279528.510123286"
"CO2","1","Australia","1990","278154.156295787"
"CO2","2","Austria","2020","62037.4467635867"
"CO2","2","Austria","2019","67936.1851615826"
"CO2","2","Austria","2018","66557.1800021535"
"CO2","2","Austria","2017","69592.82486899"
"CO2","2","Austria","2016","67210.7431674642"
"CO2","2","Austria","2015","66348.82317369"
"CO2","2","Austria","2014","64160.0004662571"
"CO2","2","Austria","2013","67759.4450486186"
"CO2","2","Austria","2012","67265.909863265"
"CO2","2","Austria","2011","69893.113155191"
"CO2","2","Austria","2010","72006.4111198149"
"CO2","2","Austria","2009","67298.6549502956"
"CO2","2","Austria","2008","73481.9088640285"
"CO2","2","Austria","2007","74106.780234534"
"CO2","2","Austria","2006","76806.4645883836"
"CO2","2","Austria","2005","79078.1058030798"
"CO2","2","Austria","2004","77678.2951910689"
"CO2","2","Austria","2003","77460.9832967825"
"CO2","2","Austria","2002","71953.6115678813"
"CO2","2","Austria","2001","70149.5081370544"
"CO2","2","Austria","2000","66149.7797144861"
"CO2","2","Austria","1999","65651.0392877443"
"CO2","2","Austria","1998","66898.3150190336"
"CO2","2","Austria","1997","67263.5967681894"
"CO2","2","Austria","1996","67367.0134588554"
"CO2","2","Austria","1995","64023.071596188"
"CO2","2","Austria","1994","61045.7562271857"
"CO2","2","Austria","1993","60670.5699662527"
"CO2","2","Austria","1992","60243.9076747427"
"CO2","2","Austria","1991","65743.9384354881"
"CO2","2","Austria","1990","62145.2482884846"
"CO2","3","Belarus","2020","58592.0409345015"
"CO2","3","Belarus","2019","62039.4928950936"
"CO2","3","Belarus","2018","62094.3282959043"
"CO2","3","Belarus","2017","59262.2847611912"
"CO2","3","Belarus","2016","58134.4828712303"
"CO2","3","Belarus","2015","58798.911244592"
"CO2","3","Belarus","2014","63648.8734724493"
"CO2","3","Belarus","2013","64125.5559345706"
"CO2","3","Belarus","2012","62545.2635749514"
"CO2","3","Belarus","2011","61307.5891991768"
"CO2","3","Belarus","2010","62445.1202689686"
"CO2","3","Belarus","2009","60577.744718683"
"CO2","3","Belarus","2008","62836.4083853279"
"CO2","3","Belarus","2007","60218.1411767819"
"CO2","3","Belarus","2006","61743.5869307047"
"CO2","3","Belarus","2005","59310.2854583841"
"CO2","3","Belarus","2004","58253.5305312626"
"CO2","3","Belarus","2003","55087.9867343927"
"CO2","3","Belarus","2002","53844.1434856304"
"CO2","3","Belarus","2001","54002.9814009877"
"CO2","3","Belarus","2000","54905.9828500558"
"CO2","3","Belarus","1999","57965.5068820061"
"CO2","3","Belarus","1998","60073.4474202855"
"CO2","3","Belarus","1997","61588.4147964153"
"CO2","3","Belarus","1996","61734.7836593788"
"CO2","3","Belarus","1995","60905.6421817669"
"CO2","3","Belarus","1994","67879.3994155276"
"CO2","3","Belarus","1993","80561.8152743954"
"CO2","3","Belarus","1992","93482.9741653306"
"CO2","3","Belarus","1991","104071.655799972"
"CO2","3","Belarus","1990","108345.055020991"
"CO2","4","Belgium","2020","90368.0082918082"
"CO2","4","Belgium","2019","99432.6187685266"
"CO2","4","Belgium","2018","99873.6309244858"
"CO2","4","Belgium","2017","99126.2827333348"
"CO2","4","Belgium","2016","99601.6248898112"
"CO2","4","Belgium","2015","101061.721812671"
"CO2","4","Belgium","2014","96887.0023648572"
"CO2","4","Belgium","2013","102666.433095273"
"CO2","4","Belgium","2012","102355.635477086"
"CO2","4","Belgium","2011","105020.1152501"
"CO2","4","Belgium","2010","114557.864169425"
"CO2","4","Belgium","2009","107732.356835628"
"CO2","4","Belgium","2008","120175.598719827"
"CO2","4","Belgium","2007","120477.002347462"
"CO2","4","Belgium","2006","123880.438176778"
"CO2","4","Belgium","2005","125636.388919657"
"CO2","4","Belgium","2004","128778.888664878"
"CO2","4","Belgium","2003","128245.639706759"
"CO2","4","Belgium","2002","126860.502025617"
"CO2","4","Belgium","2001","126063.79621771"
"CO2","4","Belgium","2000","126719.534844423"
"CO2","4","Belgium","1999","124704.147399352"
"CO2","4","Belgium","1998","130212.392128155"
"CO2","4","Belgium","1997","123983.504839854"
"CO2","4","Belgium","1996","129474.969406934"
"CO2","4","Belgium","1995","125933.050535777"
"CO2","4","Belgium","1994","124795.26353152"
"CO2","4","Belgium","1993","121422.701797221"
"CO2","4","Belgium","1992","122488.070027522"
"CO2","4","Belgium","1991","123362.363394073"
"CO2","4","Belgium","1990","120292.644130863"
"CO2","5","Bulgaria","2020","36967.1129755169"
"CO2","5","Bulgaria","2019","42255.7653885915"
"CO2","5","Bulgaria","2018","43616.0654289429"
"CO2","5","Bulgaria","2017","47569.7567074773"
"CO2","5","Bulgaria","2016","45484.3103097561"
"CO2","5","Bulgaria","2015","48260.5337306648"
"CO2","5","Bulgaria","2014","45266.3010255991"
"CO2","5","Bulgaria","2013","42678.6018859825"
"CO2","5","Bulgaria","2012","48338.9050566601"
"CO2","5","Bulgaria","2011","53174.763166716"
"CO2","5","Bulgaria","2010","47858.9258454623"
"CO2","5","Bulgaria","2009","45812.4065205321"
"CO2","5","Bulgaria","2008","54076.1231827099"
"CO2","5","Bulgaria","2007","55737.5827760521"
"CO2","5","Bulgaria","2006","51891.8547969608"
"CO2","5","Bulgaria","2005","50654.4022721659"
"CO2","5","Bulgaria","2004","49583.3522490852"
"CO2","5","Bulgaria","2003","50532.3948749105"
"CO2","5","Bulgaria","2002","46155.4907665906"
"CO2","5","Bulgaria","2001","48980.1645591464"
"CO2","5","Bulgaria","2000","45464.3317774047"
"CO2","5","Bulgaria","1999","46378.9001298274"
"CO2","5","Bulgaria","1998","53174.7940835896"
"CO2","5","Bulgaria","1997","55855.8706869812"
"CO2","5","Bulgaria","1996","58501.5658919863"
"CO2","5","Bulgaria","1995","57951.0328845384"
"CO2","5","Bulgaria","1994","56404.5900133536"
"CO2","5","Bulgaria","1993","58426.6479032601"
"CO2","5","Bulgaria","1992","57366.2930045773"
"CO2","5","Bulgaria","1991","61516.9594478065"
"CO2","5","Bulgaria","1990","76699.1974269393"
"CO2","6","Canada","2020","534863.824244431"
"CO2","6","Canada","2019","584714.183979545"
"CO2","6","Canada","2018","584369.116208603"
"CO2","6","Canada","2017","571544.619408759"
"CO2","6","Canada","2016","560525.31321941"
"CO2","6","Canada","2015","574298.190105564"
"CO2","6","Canada","2014","569839.687195768"
"CO2","6","Canada","2013","572613.310668581"
"CO2","6","Canada","2012","568223.147291289"
"CO2","6","Canada","2011","567054.132948489"
"CO2","6","Canada","2010","556560.517553098"
"CO2","6","Canada","2009","543967.589576554"
"CO2","6","Canada","2008","576558.336363077"
"CO2","6","Canada","2007","593515.763612233"
"CO2","6","Canada","2006","568450.936376322"
"CO2","6","Canada","2005","574653.628312294"
"CO2","6","Canada","2004","579592.043634273"
"CO2","6","Canada","2003","581305.319926691"
"CO2","6","Canada","2002","564050.930578121"
"CO2","6","Canada","2001","558777.507230756"
"CO2","6","Canada","2000","566690.446916788"
"CO2","6","Canada","1999","544063.779659136"
"CO2","6","Canada","1998","529649.54257196"
"CO2","6","Canada","1997","521839.964086897"
"CO2","6","Canada","1996","507510.73344119"
"CO2","6","Canada","1995","491386.794010346"
"CO2","6","Canada","1994","478726.3138382"
"CO2","6","Canada","1993","464311.598320667"
"CO2","6","Canada","1992","463758.640095088"
"CO2","6","Canada","1991","449959.72019981"
"CO2","6","Canada","1990","458218.335926151"
"CO2","7","Croatia","2020","16870.528408384"
"CO2","7","Croatia","2019","17857.445591055"
"CO2","7","Croatia","2018","17724.1517863315"
"CO2","7","Croatia","2017","18743.9950230909"
"CO2","7","Croatia","2016","18109.0143970187"
"CO2","7","Croatia","2015","17824.7047595048"
"CO2","7","Croatia","2014","17681.5663185347"
"CO2","7","Croatia","2013","18432.191008391"
"CO2","7","Croatia","2012","19087.4027480903"
"CO2","7","Croatia","2011","20649.6177875146"
"CO2","7","Croatia","2010","21016.2830621677"
"CO2","7","Croatia","2009","21804.4547896896"
"CO2","7","Croatia","2008","23594.9936119181"
"CO2","7","Croatia","2007","24862.8605362226"
"CO2","7","Croatia","2006","23549.9460565342"
"CO2","7","Croatia","2005","23343.9211573291"
"CO2","7","Croatia","2004","22887.8914861655"
"CO2","7","Croatia","2003","23215.2607801838"
"CO2","7","Croatia","2002","21889.4604439169"
"CO2","7","Croatia","2001","20785.3041535169"
"CO2","7","Croatia","2000","19662.4867687669"
"CO2","7","Croatia","1999","20024.7463048038"
"CO2","7","Croatia","1998","19013.4224322406"
"CO2","7","Croatia","1997","18558.61835123"
"CO2","7","Croatia","1996","17344.8700402797"
"CO2","7","Croatia","1995","16817.6673666635"
"CO2","7","Croatia","1994","16054.0207174592"
"CO2","7","Croatia","1993","16809.1800005589"
"CO2","7","Croatia","1992","16372.5932863955"
"CO2","7","Croatia","1991","16987.5094533194"
"CO2","7","Croatia","1990","22979.7889577863"
"CO2","8","Cyprus","2020","7269.57770038249"
"CO2","8","Cyprus","2019","7343.17648563009"
"CO2","8","Cyprus","2018","7342.54640987686"
"CO2","8","Cyprus","2017","7525.36524001395"
"CO2","8","Cyprus","2016","7375.41523740046"
"CO2","8","Cyprus","2015","6972.96411678323"
"CO2","8","Cyprus","2014","6952.14545049353"
"CO2","8","Cyprus","2013","6583.97779405123"
