"Series Code","Country or Area Code","Country or Area","Year","Value"
"CH4","1","Australia","2020","97303.7351683072"
"CH4","1","Australia","2019","99367.7314000717"
"CH4","1","Australia","2018","105796.247541354"
"CH4","1","Australia","2017","105002.791862103"
"CH4","1","Australia","2016","103078.580409683"
"CH4","1","Australia","2015","103955.984361692"
"CH4","1","Australia","2014","103494.595325217"
"CH4","1","Australia","2013","106249.156436759"
"CH4","1","Australia","2012","106641.052870279"
"CH4","1","Australia","2011","106310.044405118"
"CH4","1","Australia","2010","104768.448533726"
"CH4","1","Australia","2009","107797.782980574"
"CH4","1","Australia","2008","109033.21001672"
"CH4","1","Australia","2007","111645.922019151"
"CH4","1","Australia","2006","111294.127712246"
"CH4","1","Australia","2005","112300.305724911"
"CH4","1","Australia","2004","110016.932516031"
"CH4","1","Australia","2003","108530.050761768"
"CH4","1","Australia","2002","115485.968550101"
"CH4","1","Australia","2001","117110.619052842"
"CH4","1","Australia","2000","118052.17644461"
"CH4","1","Australia","1999","114164.527759236"
"CH4","1","Australia","1998","117834.999257818"
"CH4","1","Australia","1997","118004.542337205"
"CH4","1","Australia","1996","115157.293442175"
"CH4","1","Australia","1995","115838.533863639"
"CH4","1","Australia","1994","117269.416880507"
"CH4","1","Australia","1993","120116.183306004"
"CH4","1","Australia","1992","123239.843554797"
"CH4","1","Australia","1991","124199.251540457"
"CH4","1","Australia","1990","125133.249408805"
"CH4","2","Austria","2020","5819.44099899718"
"CH4","2","Austria","2019","5914.32911218532"
"CH4","2","Austria","2018","6047.18102825725"
"CH4","2","Austria","2017","6256.42723057855"
"CH4","2","Austria","2016","6282.52136716284"
"CH4","2","Austria","2015","6353.77525705837"
"CH4","2","Austria","2014","6431.70085792922"
"CH4","2","Austria","2013","6572.80099988259"
"CH4","2","Austria","2012","6680.69154897539"
"CH4","2","Austria","2011","6800.73105991002"
"CH4","2","Austria","2010","7007.82327217762"
"CH4","2","Austria","2009","7116.4484276918"
"CH4","2","Austria","2008","7228.03208157168"
"CH4","2","Austria","2007","7372.40567418188"
"CH4","2","Austria","2006","7492.24498987554"
"CH4","2","Austria","2005","7612.58477699187"
"CH4","2","Austria","2004","7847.12621927825"
"CH4","2","Austria","2003","7852.3154417443"
"CH4","2","Austria","2002","7919.36149717026"
"CH4","2","Austria","2001","8055.08307199452"
"CH4","2","Austria","2000","8224.68513253951"
"CH4","2","Austria","1999","8436.13067295747"
"CH4","2","Austria","1998","8612.59667665258"
"CH4","2","Austria","1997","8780.31561846468"
"CH4","2","Austria","1996","9075.42689292866"
"CH4","2","Austria","1995","9382.09182903982"
"CH4","2","Austria","1994","9466.26301658669"
"CH4","2","Austria","1993","9763.05883294139"
"CH4","2","Austria","1992","9724.87940610079"
"CH4","2","Austria","1991","9999.21781255187"
"CH4","2","Austria","1990","10110.6827043105"
"CH4","3","Belarus","2020","17236.8221181984"
"CH4","3","Belarus","2019","17563.3317002994"
"CH4","3","Belarus","2018","17437.5804641352"
"CH4","3","Belarus","2017","17226.0903625488"
"CH4","3","Belarus","2016","17038.8945180869"
"CH4","3","Belarus","2015","17145.7153434918"
"CH4","3","Belarus","2014","17261.2183963911"
"CH4","3","Belarus","2013","17322.2675991613"
"CH4","3","Belarus","2012","16970.6794376556"
"CH4","3","Belarus","2011","16676.9976542668"
"CH4","3","Belarus","2010","16652.6421214247"
"CH4","3","Belarus","2009","16238.641052791"
"CH4","3","Belarus","2008","16263.4842544949"
"CH4","3","Belarus","2007","16046.8903851914"
"CH4","3","Belarus","2006","16020.1040815398"
"CH4","3","Belarus","2005","15651.210810209"
"CH4","3","Belarus","2004","15200.9308134679"
"CH4","3","Belarus","2003","14962.3797622613"
"CH4","3","Belarus","2002","15021.3871809648"
"CH4","3","Belarus","2001","15104.9784515077"
"CH4","3","Belarus","2000","15224.6683602791"
"CH4","3","Belarus","1999","15403.5496185876"
"CH4","3","Belarus","1998","15726.4039798261"
"CH4","3","Belarus","1997","15733.187000636"
"CH4","3","Belarus","1996","15721.2889421151"
"CH4","3","Belarus","1995","16200.4462582997"
"CH4","3","Belarus","1994","17058.9058062826"
"CH4","3","Belarus","1993","17737.9612841701"
"CH4","3","Belarus","1992","18641.6740863826"
"CH4","3","Belarus","1991","19936.603912319"
"CH4","3","Belarus","1990","20841.8162765245"
"CH4","4","Belgium","2020","7098.80722634026"
"CH4","4","Belgium","2019","7241.60056436466"
"CH4","4","Belgium","2018","7313.03739056"
"CH4","4","Belgium","2017","7386.82264967756"
"CH4","4","Belgium","2016","7544.44007157265"
"CH4","4","Belgium","2015","7589.98113810852"
"CH4","4","Belgium","2014","7577.63830436314"
"CH4","4","Belgium","2013","7723.21055469742"
"CH4","4","Belgium","2012","7874.13677624432"
"CH4","4","Belgium","2011","7916.44086031179"
"CH4","4","Belgium","2010","8151.52462297771"
"CH4","4","Belgium","2009","8175.36850403328"
"CH4","4","Belgium","2008","8239.60338381611"
"CH4","4","Belgium","2007","8406.88379521494"
"CH4","4","Belgium","2006","8510.99519147479"
"CH4","4","Belgium","2005","8597.87083750187"
"CH4","4","Belgium","2004","8818.27393510632"
"CH4","4","Belgium","2003","8876.1681000674"
"CH4","4","Belgium","2002","9395.48830365912"
"CH4","4","Belgium","2001","9796.52659812968"
"CH4","4","Belgium","2000","10217.4102980359"
"CH4","4","Belgium","1999","10629.5556135728"
"CH4","4","Belgium","1998","10869.6611540706"
"CH4","4","Belgium","1997","11043.3193677658"
"CH4","4","Belgium","1996","11160.7086250598"
"CH4","4","Belgium","1995","11297.7651787998"
"CH4","4","Belgium","1994","11233.9780894177"
