"Series Code","Country or Area Code","Country or Area","Year","Value"
"GHG","1","Australia","2020","528149.456399617"
"GHG","1","Australia","2019","546606.624341056"
"GHG","1","Australia","2018","552484.024716441"
"GHG","1","Australia","2017","550874.867938502"
"GHG","1","Australia","2016","543976.812336764"
"GHG","1","Australia","2015","534936.016961654"
"GHG","1","Australia","2014","526711.779998652"
"GHG","1","Australia","2013","532267.334867726"
"GHG","1","Australia","2012","541899.740302483"
"GHG","1","Australia","2011","538663.87777036"
"GHG","1","Australia","2010","536893.737804177"
"GHG","1","Australia","2009","541475.792467023"
"GHG","1","Australia","2008","538590.714122566"
"GHG","1","Australia","2007","535807.551620325"
"GHG","1","Australia","2006","529240.641214476"
"GHG","1","Australia","2005","524811.845283562"
"GHG","1","Australia","2004","518408.437662019"
"GHG","1","Australia","2003","501128.976318902"
"GHG","1","Australia","2002","501000.842687318"
"GHG","1","Australia","2001","497352.025386861"
"GHG","1","Australia","2000","489528.649319222"
"GHG","1","Australia","1999","478136.874727016"
"GHG","1","Australia","1998","472145.831804056"
"GHG","1","Australia","1997","457864.510418591"
"GHG","1","Australia","1996","445847.225288782"
"GHG","1","Australia","1995","439269.877862795"
"GHG","1","Australia","1994","430848.497956106"
"GHG","1","Australia","1993","430381.730656997"
"GHG","1","Australia","1992","429473.084679731"
"GHG","1","Australia","1991","425686.444956654"
"GHG","1","Australia","1990","425624.307017106"
"GHG","2","Austria","2020","73592.0165184385"
"GHG","2","Austria","2019","79740.7384055657"
"GHG","2","Austria","2018","78558.026914763"
"GHG","2","Austria","2017","81792.1559486655"
"GHG","2","Austria","2016","79468.2968068815"
"GHG","2","Austria","2015","78486.7431276904"
"GHG","2","Austria","2014","76235.1517144253"
"GHG","2","Austria","2013","79772.018771552"
"GHG","2","Austria","2012","79309.940824444"
"GHG","2","Austria","2011","82007.4595272525"
"GHG","2","Austria","2010","84150.2250540238"
"GHG","2","Austria","2009","79584.5224282593"
"GHG","2","Austria","2008","86259.0204172573"
"GHG","2","Austria","2007","86841.3619590086"
"GHG","2","Austria","2006","89606.9797936335"
"GHG","2","Austria","2005","92029.496616268"
"GHG","2","Austria","2004","90856.235614156"
"GHG","2","Austria","2003","91209.6199313187"
"GHG","2","Austria","2002","85747.0736684861"
"GHG","2","Austria","2001","83989.2396956145"
"GHG","2","Austria","2000","80085.0277340392"
"GHG","2","Austria","1999","79922.2445038841"
"GHG","2","Austria","1998","81452.3806711145"
"GHG","2","Austria","1997","82134.0931005254"
"GHG","2","Austria","1996","82482.7820465391"
"GHG","2","Austria","1995","79283.4301431655"
"GHG","2","Austria","1994","76039.4717350331"
"GHG","2","Austria","1993","75806.3458789638"
"GHG","2","Austria","1992","75464.1216641962"
"GHG","2","Austria","1991","82095.3864941115"
"GHG","2","Austria","1990","78423.2207298205"
"GHG","3","Belarus","2020","88802.0581910838"
"GHG","3","Belarus","2019","92183.1724508831"
"GHG","3","Belarus","2018","92029.1377745719"
