"Series Code","Country or Area Code","Country or Area","Year","Value"
"N2O","1","Australia","2020","18586.6505786423"
"N2O","1","Australia","2019","18751.6454597708"
"N2O","1","Australia","2018","19578.7352445301"
"N2O","1","Australia","2017","20719.4402875542"
"N2O","1","Australia","2016","19042.9126227538"
"N2O","1","Australia","2015","19054.8322733447"
"N2O","1","Australia","2014","19673.1389378784"
"N2O","1","Australia","2013","19263.6358124958"
"N2O","1","Australia","2012","20490.296456053"
"N2O","1","Australia","2011","20287.683088736"
"N2O","1","Australia","2010","19537.8716919547"
"N2O","1","Australia","2009","19661.2626200018"
"N2O","1","Australia","2008","19147.732934924"
"N2O","1","Australia","2007","18821.0806253694"
"N2O","1","Australia","2006","20417.3830947524"
"N2O","1","Australia","2005","20511.0811136915"
"N2O","1","Australia","2004","20441.0027055759"
"N2O","1","Australia","2003","18758.9599266644"
"N2O","1","Australia","2002","19909.1989642037"
"N2O","1","Australia","2001","19403.2046525346"
"N2O","1","Australia","2000","19088.8402585257"
"N2O","1","Australia","1999","18148.0916543943"
"N2O","1","Australia","1998","17673.2076171566"
"N2O","1","Australia","1997","17617.6895719331"
"N2O","1","Australia","1996","16826.2704761071"
"N2O","1","Australia","1995","15562.6430886656"
"N2O","1","Australia","1994","16394.369542561"
"N2O","1","Australia","1993","15972.7416666699"
"N2O","1","Australia","1992","15513.317791092"
"N2O","1","Australia","1991","15683.9143938991"
"N2O","1","Australia","1990","16084.6451790658"
"N2O","2","Austria","2020","3497.98739494488"
"N2O","2","Austria","2019","3550.72596702131"
"N2O","2","Austria","2018","3552.56893241916"
"N2O","2","Austria","2017","3593.0108238514"
"N2O","2","Austria","2016","3655.09806423336"
"N2O","2","Austria","2015","3555.14123061084"
"N2O","2","Austria","2014","3538.43223171672"
"N2O","2","Austria","2013","3446.72431809404"
"N2O","2","Austria","2012","3464.00541276999"
"N2O","2","Austria","2011","3493.37492030476"
"N2O","2","Austria","2010","3388.73017850486"
"N2O","2","Austria","2009","3579.90714298248"
"N2O","2","Austria","2008","3802.60537901086"
"N2O","2","Austria","2007","3631.87318168796"
"N2O","2","Austria","2006","3613.82903087005"
"N2O","2","Austria","2005","3606.67969515501"
"N2O","2","Austria","2004","3609.04741192562"
"N2O","2","Austria","2003","4203.13730687817"
"N2O","2","Austria","2002","4213.5196083089"
"N2O","2","Austria","2001","4221.8301825777"
"N2O","2","Austria","2000","4355.29289005872"
"N2O","2","Austria","1999","4386.45770955985"
"N2O","2","Austria","1998","4412.49574645782"
"N2O","2","Austria","1997","4368.00644013391"
"N2O","2","Austria","1996","4355.73046853485"
"N2O","2","Austria","1995","4337.62182755784"
"N2O","2","Austria","1994","4271.79001061695"
"N2O","2","Austria","1993","4330.32273886997"
"N2O","2","Austria","1992","4322.95879432148"
"N2O","2","Austria","1991","4541.58294147368"
"N2O","2","Austria","1990","4511.45699613521"
"N2O","3","Belarus","2020","12744.9115441637"
"N2O","3","Belarus","2019","12362.0583494132"
"N2O","3","Belarus","2018","12284.9304464562"
"N2O","3","Belarus","2017","12376.1086520349"
"N2O","3","Belarus","2016","12095.5240843505"
"N2O","3","Belarus","2015","12002.1255523254"
"N2O","3","Belarus","2014","12179.3375302464"
"N2O","3","Belarus","2013","12702.3666353666"
"N2O","3","Belarus","2012","12599.8203127089"
"N2O","3","Belarus","2011","13093.6055616966"
"N2O","3","Belarus","2010","12581.73666792"
"N2O","3","Belarus","2009","12723.3054581144"
"N2O","3","Belarus","2008","12477.665993531"
"N2O","3","Belarus","2007","11898.6574699032"
"N2O","3","Belarus","2006","12079.9229334134"
"N2O","3","Belarus","2005","11571.673137084"
"N2O","3","Belarus","2004","11160.7298211905"
"N2O","3","Belarus","2003","10878.2780019738"
"N2O","3","Belarus","2002","10382.9537272805"
"N2O","3","Belarus","2001","10855.8708350071"
"N2O","3","Belarus","2000","11189.7586528351"
"N2O","3","Belarus","1999","11228.36906819"
"N2O","3","Belarus","1998","14722.7775255689"
"N2O","3","Belarus","1997","11943.1468614953"
"N2O","3","Belarus","1996","11616.3921584834"
"N2O","3","Belarus","1995","11210.1872377097"
"N2O","3","Belarus","1994","11828.7321429814"
"N2O","3","Belarus","1993","14269.8571572472"
"N2O","3","Belarus","1992","14373.5313210018"
"N2O","3","Belarus","1991","16007.1946914656"
"N2O","3","Belarus","1990","16274.7394207312"
"N2O","4","Belgium","2020","5380.95855399112"
"N2O","4","Belgium","2019","5556.23070122874"
"N2O","4","Belgium","2018","5632.54504890597"
"N2O","4","Belgium","2017","5895.37813884905"
"N2O","4","Belgium","2016","5718.44174612195"
"N2O","4","Belgium","2015","5991.06697267152"
"N2O","4","Belgium","2014","6139.45379109253"
"N2O","4","Belgium","2013","6135.23260265364"
"N2O","4","Belgium","2012","6296.09198052932"
"N2O","4","Belgium","2011","6326.11127393841"
"N2O","4","Belgium","2010","7529.15904482266"
"N2O","4","Belgium","2009","7016.76966736021"
"N2O","4","Belgium","2008","6919.18409135567"
"N2O","4","Belgium","2007","6950.43126899214"
"N2O","4","Belgium","2006","7485.95662514623"
"N2O","4","Belgium","2005","8485.05738313509"
"N2O","4","Belgium","2004","8729.50435045424"
"N2O","4","Belgium","2003","8563.48670512188"
"N2O","4","Belgium","2002","9463.72077112428"
"N2O","4","Belgium","2001","9810.07827959084"
"N2O","4","Belgium","2000","10200.2783832491"
"N2O","4","Belgium","1999","10921.3965352602"
"N2O","4","Belgium","1998","10915.6285596594"
"N2O","4","Belgium","1997","11031.3111821837"
"N2O","4","Belgium","1996","11253.982161483"
"N2O","4","Belgium","1995","10815.4271795099"
"N2O","4","Belgium","1994","10332.696232453"
"N2O","4","Belgium","1993","9928.95721219423"
"N2O","4","Belgium","1992","9654.74030985608"
"N2O","4","Belgium","1991","9930.2072111964"
"N2O","4","Belgium","1990","10063.1682140626"
"N2O","5","Bulgaria","2020","4760.57123915505"
"N2O","5","Bulgaria","2019","4904.61243277033"
"N2O","5","Bulgaria","2018","4892.07187056685"
"N2O","5","Bulgaria","2017","4988.97094221489"
"N2O","5","Bulgaria","2016","5007.48567070069"
"N2O","5","Bulgaria","2015","4676.44186023614"
"N2O","5","Bulgaria","2014","4574.5633906763"
"N2O","5","Bulgaria","2013","4124.71659107527"
"N2O","5","Bulgaria","2012","3730.36338514653"
"N2O","5","Bulgaria","2011","3649.13642752983"
"N2O","5","Bulgaria","2010","4007.65911664549"
"N2O","5","Bulgaria","2009","3533.56403282011"
"N2O","5","Bulgaria","2008","3923.8253242904"
"N2O","5","Bulgaria","2007","3682.93123974804"
"N2O","5","Bulgaria","2006","3650.46887568682"
"N2O","5","Bulgaria","2005","4127.72126333584"
"N2O","5","Bulgaria","2004","4289.03995390575"
"N2O","5","Bulgaria","2003","3697.67323117383"
"N2O","5","Bulgaria","2002","3880.95346233431"
"N2O","5","Bulgaria","2001","3963.97804373273"
"N2O","5","Bulgaria","2000","3876.41441892401"
"N2O","5","Bulgaria","1999","3790.76318405696"
"N2O","5","Bulgaria","1998","3633.80363779539"
"N2O","5","Bulgaria","1997","4459.90272442662"
"N2O","5","Bulgaria","1996","4693.06090095148"
"N2O","5","Bulgaria","1995","4817.9037493991"
"N2O","5","Bulgaria","1994","4947.53710427197"
"N2O","5","Bulgaria","1993","5031.62689723988"
