"Series Code","Country or Area Code","Country or Area","Year","Value"
"NF3","2","Austria","2020","12.04"
"NF3","2","Austria","2019","13.6052"
"NF3","2","Austria","2018","16.512"
"NF3","2","Austria","2017","12.0056"
"NF3","2","Austria","2016","6.1404"
"NF3","2","Austria","2015","13.459"
"NF3","2","Austria","2014","10.56252"
"NF3","2","Austria","2013","9.7524"
"NF3","2","Austria","2012","8.56388"
"NF3","2","Austria","2011","4.1022"
"NF3","2","Austria","2010","4.11596"
"NF3","2","Austria","2009","4.5408"
"NF3","2","Austria","2008","53.47136"
"NF3","2","Austria","2007","59.3916"
"NF3","2","Austria","2006","32.7316"
"NF3","2","Austria","2005","28.1564"
"NF3","2","Austria","2004","26.5396"
"NF3","2","Austria","2003","21.555384"
"NF3","2","Austria","2002","10.5092"
"NF3","2","Austria","2001","10.5092"
"NF3","2","Austria","2000","10.5092"
"NF3","2","Austria","1999","8.236693877544"
"NF3","2","Austria","1998","9.430603636348"
"NF3","2","Austria","1997","15.52644"
"NF3","2","Austria","1996","7.92576"
"NF3","2","Austria","1995","6.43968"
"NF3","2","Austria","1994","0.75852"
"NF3","3","Belarus","2020","6.119338428"
"NF3","3","Belarus","2019","6.4237840524"
"NF3","3","Belarus","2018","6.8086221156"
"NF3","3","Belarus","2017","7.2018604008"
"NF3","3","Belarus","2016","7.603498908"
"NF3","3","Belarus","2015","7.991339472"
"NF3","3","Belarus","2014","8.0217428112"
"NF3","3","Belarus","2013","8.3257762032"
"NF3","3","Belarus","2012","8.6298095952"
"NF3","3","Belarus","2011","8.9338429872"
"NF3","3","Belarus","2010","9.2378763792"
"NF3","3","Belarus","2009","9.5419097712"
"NF3","3","Belarus","2008","9.8459431632"
"NF3","3","Belarus","2007","10.1499765552"
"NF3","3","Belarus","2006","10.4540099472"
"NF3","3","Belarus","2005","10.72764"
"NF3","3","Belarus","2004","10.72764"
"NF3","3","Belarus","2003","10.72764"
"NF3","3","Belarus","2002","10.72764"
"NF3","3","Belarus","2001","10.72764"
"NF3","3","Belarus","2000","10.72764"
"NF3","3","Belarus","1999","10.72764"
"NF3","3","Belarus","1998","10.72764"
"NF3","3","Belarus","1997","10.72764"
"NF3","3","Belarus","1996","10.72764"
"NF3","3","Belarus","1995","10.72764"
"NF3","4","Belgium","2020","8.506720835816"
"NF3","4","Belgium","2019","0.53492"
"NF3","4","Belgium","2018","0.645688"
"NF3","4","Belgium","2017","0.627112"
"NF3","4","Belgium","2016","0.71466"
"NF3","4","Belgium","2015","0.84968"
"NF3","4","Belgium","2014","0.68972"
"NF3","4","Belgium","2013","1.24184"
"NF3","4","Belgium","2012","1.118"
"NF3","4","Belgium","2011","2.47508"
"NF3","4","Belgium","2010","1.3244"
"NF3","4","Belgium","2009","0.5676"
"NF3","4","Belgium","2008","0.6708"
"NF3","6","Canada","2020","0.61576"
"NF3","6","Canada","2019","0.332648"
"NF3","6","Canada","2018","0.343656"
"NF3","6","Canada","2017","0.2337136"
"NF3","6","Canada","2016","0.14104"
"NF3","6","Canada","2015","0.011008"
"NF3","6","Canada","2014","0.011008"
"NF3","6","Canada","2013","0.151044896"
"NF3","6","Canada","2012","0.151044896"
"NF3","6","Canada","2011","0.151044896"
"NF3","6","Canada","2010","0.151044896"
"NF3","6","Canada","2009","0.159715358724"
"NF3","6","Canada","2008","0.168385821276"
"NF3","6","Canada","2007","0.177056284"
"NF3","6","Canada","2006","0.185726746724"
"NF3","6","Canada","2005","0.194397209276"
"NF3","6","Canada","2004","0.203067672"
"NF3","6","Canada","2003","0.211738134724"
"NF3","6","Canada","2002","0.220408597276"
"NF3","6","Canada","2001","0.22907906"
"NF3","6","Canada","2000","0.237749522724"
"NF3","6","Canada","1999","0.246419985276"
"NF3","6","Canada","1998","0.255090448"
"NF3","6","Canada","1997","0.263760910724"
"NF3","6","Canada","1996","0.272431373276"
"NF3","6","Canada","1995","0.281101836"
"NF3","6","Canada","1994","0.289772298724"
"NF3","6","Canada","1993","0.298442761276"
"NF3","6","Canada","1992","0.307113224"
"NF3","6","Canada","1991","0.315783686724"
"NF3","6","Canada","1990","0.324454149276"
"NF3","9","Czechia","2020","2.153612"
"NF3","9","Czechia","2019","2.522896"
"NF3","9","Czechia","2018","3.111136"
"NF3","9","Czechia","2017","3.33336"
"NF3","9","Czechia","2016","2.150344"
"NF3","9","Czechia","2015","2.150344"
"NF3","9","Czechia","2014","2.372568"
"NF3","9","Czechia","2013","1.408508"
"NF3","9","Czechia","2012","0.888896"
"NF3","9","Czechia","2011","0.591508"
"NF3","9","Czechia","2010","0.14706"
"NF3","12","European Union","2020","60.170722574176"
"NF3","12","European Union","2019","57.490478858404"
"NF3","12","European Union","2018","68.108466561"
"NF3","12","European Union","2017","60.243668563656"
"NF3","12","European Union","2016","61.490567744652"
"NF3","12","European Union","2015","64.573662879288"
"NF3","12","European Union","2014","70.06279541532"
"NF3","12","European Union","2013","66.076238056656"
"NF3","12","European Union","2012","92.251772497784"
"NF3","12","European Union","2011","127.874025645012"
"NF3","12","European Union","2010","119.681657740924"
"NF3","12","European Union","2009","77.495868497592"
"NF3","12","European Union","2008","149.273623866056"
"NF3","12","European Union","2007","163.149707255844"
"NF3","12","European Union","2006","141.117405010016"
"NF3","12","European Union","2005","156.029364638416"
"NF3","12","European Union","2004","132.145105572924"
"NF3","12","European Union","2003","146.198629403724"
"NF3","12","European Union","2002","133.267981706532"
"NF3","12","European Union","2001","81.692222635064"
"NF3","12","European Union","2000","102.334416503148"
"NF3","12","European Union","1999","74.319472194812"
"NF3","12","European Union","1998","76.632105176808"
"NF3","12","European Union","1997","101.139489222444"
"NF3","12","European Union","1996","93.426031252288"
"NF3","12","European Union","1995","99.211969745996"
"NF3","12","European Union","1994","31.999206114752"
"NF3","12","European Union","1993","29.011095658632"
"NF3","12","European Union","1992","26.986528966872"
"NF3","12","European Union","1991","25.147984010264"
"NF3","12","European Union","1990","23.478242837168"
"NF3","14","France","2020","8.54048539592"
"NF3","14","France","2019","10.290631531996"
"NF3","14","France","2018","12.250677260052"
"NF3","14","France","2017","7.637445688"
"NF3","14","France","2016","5.838358196"
"NF3","14","France","2015","6.233806664"
"NF3","14","France","2014","6.3714992"
"NF3","14","France","2013","10.6296"
"NF3","14","France","2012","20.3992"
"NF3","14","France","2011","31.3556"
"NF3","14","France","2010","32.1296"
"NF3","14","France","2009","24.9572"
"NF3","14","France","2008","46.354"
"NF3","14","France","2007","42.1056"
"NF3","14","France","2006","29.756"
"NF3","14","France","2005","31.2696"
"NF3","14","France","2004","35.544820182568"
"NF3","14","France","2003","30.46698872794"
"NF3","14","France","2002","35.544820182568"
"NF3","14","France","2001","28.445694444368"
"NF3","14","France","2000","19.891693827152"
"NF3","14","France","1999","28.409592493876"
"NF3","14","France","1998","21.155172237272"
"NF3","14","France","1997","17.176894665864"
"NF3","14","France","1996","11.460804045004"
"NF3","14","France","1995","6.259923881192"
"NF3","14","France","1994","24.129661090956"
