country,gas,year,emission,population,per_capital,emission_per_capital,emission_per_pop,change_in_emission
Australia,CO2,1990,278154156.2957868,17065128,19017.8713211786,14625.935342512805,16.299564603077503,NA
Australia,CO2,1991,279528510.1232859,17067288,19091.2737870316,14641.689875777967,16.37802737747707,0.4940978937009359
Australia,CO2,1992,284525344.62076277,17494664,18682.7711889939,15229.290223731792,16.2635501099514,1.7875938648522918
Australia,CO2,1993,288870536.76340365,17667093,17996.6636053341,16051.338353503714,16.35076788034136,1.5271722624332447
Australia,CO2,1994,293696553.0989449,17854738,20358.9686845054,14425.905243543528,16.449222223196156,1.6706502468591824
Australia,CO2,1995,305002995.51898336,18071758,21778.5663840331,14004.732457623819,16.877328454651913,3.8497021162619425
Australia,CO2,1996,311886128.95967084,18101568.5,23918.1009539795,13039.753012154551,17.229784753717382,2.2567428982051005
Australia,CO2,1997,320282629.5029794,18517564,23753.5047397354,13483.594653179889,17.296153506097205,2.692168635814607
Australia,CO2,1998,334075978.1101151,18711271,20985.2798915675,15919.53883085241,17.854264315348495,4.306617760863426
Australia,CO2,1999,343488632.899242,18925855,22723.0591553695,15116.302367151782,18.14917386291092,2.8175191890104587
Australia,CO2,2000,349635486.90216774,19153380,21549.9401378319,16224.429611679836,18.254505831459916,1.7895363671987523
Australia,CO2,2001,357132367.4837716,19005433.333333332,20315.2059528505,17579.559287394823,18.791066808111275,2.1441989907911156
Australia,CO2,2002,361540810.19680816,19495210,22392.5297622439,16145.599181312824,18.54510980886116,1.2344002152750437
Australia,CO2,2003,369279512.3085459,19720737,28432.7151763845,12987.838481752182,18.72544176764519,2.140478168294498
Australia,CO2,2004,382820890.1294874,19932722,34138.7465333635,11213.677390157249,19.205650393834187,3.6669724069683065
Australia,CO2,2005,386153533.09002006,20176844,37816.7258806642,10211.183652137941,19.1384506461972,0.8705488771538601
Australia,CO2,2006,392384302.17253953,20122633,40040.365099086,9799.718389218597,19.499650079218735,1.61354708648152
Australia,CO2,2007,399624802.6684373,20827622,47366.290521556,8436.903085889138,19.18725059771285,1.845257431504987
Australia,CO2,2008,404233066.5827049,21249199,49790.7055434925,8118.645079845369,19.02344961721639,1.153147623344842
Australia,CO2,2009,407065014.9469371,21691653,46952.0905196545,8669.79532629195,18.765974863554064,0.7005731589879163
Australia,CO2,2010,405103320.4607654,22031750,59089.2799565678,6855.783667672498,18.387251147129277,-0.4819118357364558
Australia,CO2,2011,403828772.71398765,21858300.333333332,69214.4380237958,5834.458593381226,18.47484784066945,-0.314622883201278
Australia,CO2,2012,406150910.0375257,22733465,69993.6862177016,5802.6792413000385,17.865772333321196,0.5750301812156219
Australia,CO2,2013,397887458.385894,23128129,66774.6445996725,5958.660817609885,17.20361635763507,-2.034576667787898
Australia,CO2,2014,393952875.612924,23475686,62347.7859128798,6318.634572900547,16.781314744664925,-0.9888682565998442
Australia,CO2,2015,401793062.46052396,23815995,52276.9121721542,7685.860655605877,16.870723329448296,1.990133168948692
Australia,CO2,2016,411264287.7153728,23770073.333333332,54037.3186504597,7610.745647385561,17.301767729031244,2.357239619033836
Australia,CO2,2017,414358311.52377164,24594202,57430.8037879349,7214.914021642517,16.847804678670673,0.7523200775799309
Australia,CO2,2018,416283827.44640493,24966643,58225.1616873622,7149.552107414062,16.6736003493303,0.46469827419470594
Australia,CO2,2019,416761933.4162997,25340217,54267.0881988172,7679.8285526103355,16.446660003594275,0.11485095945898145
Australia,CO2,2020,400333466.6000323,25655289,55774.1582890132,7177.758999527438,15.60432496394924,-3.9419307520721008
Belarus,CO2,1990,108345055.09003264,10189348,1867.96625990613,58001.61245711004,10.633168588415337,-72.93629832894318
Belarus,CO2,1991,104071655.87819004,10194050,1899.07925024816,54801.11262581096,10.209058801770645,-3.9442494244813338
Belarus,CO2,1992,93482974.2442516,10216470,1751.97077053085,53358.7522216059,9.150222556739422,-10.174414488352042
Belarus,CO2,1993,80561815.35757138,10239050,1657.17078461463,48614.06929540203,7.86809473120762,-13.821938156267805
Belarus,CO2,1994,67879399.50218154,10226955,1495.53429012426,45388.05960546824,6.6373030390943875,-15.74246533435137
Belarus,CO2,1995,60905642.26133535,10193831,1369.15762566555,44484.02515505036,5.974754953396358,-10.27374622048928
Belarus,CO2,1996,61734783.74022379,10211978.5,1436.40172987962,42978.77289899781,6.04533036768769,1.3613541342044102
Belarus,CO2,1997,61588414.87622435,10176780,1401.27734535434,43951.62390971969,6.051856763752812,-0.23709302135948598
Belarus,CO2,1998,60073447.50310999,10137900,1519.39160742841,39537.83027983489,5.925630308358732,-2.4598252384949664
Belarus,CO2,1999,57965506.96503409,10083698.666666666,1217.37705946734,47615.08072970978,5.748437044895903,-3.508938850174653
Belarus,CO2,2000,54905982.93417526,9999545,1050.08579007663,52287.14020610497,5.490848127007305,-5.278180405985914
Belarus,CO2,2001,54002981.510618664,9928549,1252.08065354358,43130.59335098099,5.43916150392355,-1.644632106193547
Belarus,CO2,2002,53844143.63742339,9865548,1488.70656691815,36168.40607406535,5.4577955160142535,-0.29412796988633527
Belarus,CO2,2003,55087986.90546266,9796749,1830.77957180768,30089.90691930746,5.623088527169846,2.310080881618406
Belarus,CO2,2004,58253530.6771906,9730146,2392.50736490487,24348.31822534718,5.986912290647088,5.746341352353972
Belarus,CO2,2005,59310285.59389708,9663915,3143.58039511651,18867.11269927578,6.137293797999784,1.8140615760483967
Belarus,CO2,2006,61743587.07600371,9604924,3869.69652135355,15955.666480638361,6.428326457971319,4.102663573005975
Belarus,CO2,2007,60218141.330942914,9560953,4763.61799650891,12641.261615661602,6.298340900843558,-2.470614062611937
Belarus,CO2,2008,62836408.5610229,9527985,6416.86703886436,9792.381263387299,6.594931516057477,4.347970847673103
Belarus,CO2,2009,60577744.91345094,9504195,5213.64137606991,11619.085499723227,6.373790196166108,-3.5945142303581554
Belarus,CO2,2010,62445120.45689156,9483836,5881.14218868711,10617.855928906156,6.584373713009331,3.0826098695297874
Belarus,CO2,2011,61307589.368877836,9461643,6362.67265292987,9635.508961889946,6.479592325442614,-1.821649281306148
Belarus,CO2,2012,62545263.75728741,9446836,6776.10991663247,9230.261097708195,6.620763158933574,2.0187947383849836
Belarus,CO2,2013,64125556.13026359,9453525.5,7793.46473354336,8228.119112962022,6.783242519445638,2.526637954727707
Belarus,CO2,2014,63648873.68838132,9458334.5,8130.30457435098,7828.596469703872,6.729395507039989,-0.7433579849412031
Belarus,CO2,2015,58798911.467350975,9470972,5819.71474778215,10103.400942418837,6.208329141649978,-7.619871240417056
Belarus,CO2,2016,58134483.09341531,9483871.5,4915.843487464,11825.942636633028,6.129826104604572,-1.1300011468827897
Belarus,CO2,2017,59381852.68035984,9481846.5,5637.21856500439,10533.892201554827,6.262688673599582,2.145662127828936
Belarus,CO2,2018,62156932.44641564,9465304,6191.59174029738,10038.92618466318,6.566818397635791,4.6732791935500515
Belarus,CO2,2019,62096343.73857161,9435907.25,6658.08998937656,9326.450053641598,6.580855671146153,-0.09747699163929344
