"","gas","region","year","value","lagged_value","percent_change"
"1","CH4","Australia",1990,125133.249408805,NA,NA
"2","CH4","Australia",1991,124199.251540457,125133.249408805,-0.746402633001776
"3","CH4","Australia",1992,123239.843554797,124199.251540457,-0.772474852916066
"4","CH4","Australia",1993,120116.183306004,123239.843554797,-2.53461880402673
"5","CH4","Australia",1994,117269.416880507,120116.183306004,-2.37001072390443
"6","CH4","Australia",1995,115838.533863639,117269.416880507,-1.22016724814622
"7","CH4","Australia",1996,115157.293442175,115838.533863639,-0.588094823667165
"8","CH4","Australia",1997,118004.542337205,115157.293442175,2.47248681340337
"9","CH4","Australia",1998,117834.999257818,118004.542337205,-0.143675045069472
"10","CH4","Australia",1999,114164.527759236,117834.999257818,-3.11492470123512
"11","CH4","Australia",2000,118052.17644461,114164.527759236,3.40530352262547
"12","CH4","Australia",2001,117110.619052842,118052.17644461,-0.797577325658015
"13","CH4","Australia",2002,115485.968550101,117110.619052842,-1.38727855414028
"14","CH4","Australia",2003,108530.050761768,115485.968550101,-6.02317136502633
"15","CH4","Australia",2004,110016.932516031,108530.050761768,1.370018482279
"16","CH4","Australia",2005,112300.305724911,110016.932516031,2.07547434441265
"17","CH4","Australia",2006,111294.127712246,112300.305724911,-0.895970857933116
"18","CH4","Australia",2007,111645.922019151,111294.127712246,0.316094221803479
"19","CH4","Australia",2008,109033.21001672,111645.922019151,-2.34017683331312
"20","CH4","Australia",2009,107797.782980574,109033.21001672,-1.13307407528086
"21","CH4","Australia",2010,104768.448533726,107797.782980574,-2.81020106637436
"22","CH4","Australia",2011,106310.044405118,104768.448533726,1.47143142135558
"23","CH4","Australia",2012,106641.052870279,106310.044405118,0.311361421221524
"24","CH4","Australia",2013,106249.156436759,106641.052870279,-0.367491151833162
"25","CH4","Australia",2014,103494.595325217,106249.156436759,-2.59254868831035
"26","CH4","Australia",2015,103955.984361692,103494.595325217,0.445809788448515
"27","CH4","Australia",2016,103078.580409683,103955.984361692,-0.844014856284047
"28","CH4","Australia",2017,105002.791862103,103078.580409683,1.86674228998137
"29","CH4","Australia",2018,105796.247541354,105002.791862103,0.755651983323471
"30","CH4","Australia",2019,99367.7314000717,105796.247541354,-6.07631772456721
"31","CH4","Australia",2020,97303.7351683072,99367.7314000717,-2.07712926790538
"32","CH4","Austria",1990,10110.6827043105,NA,NA
"33","CH4","Austria",1991,9999.21781255187,10110.6827043105,-1.10244673894385
"34","CH4","Austria",1992,9724.87940610079,9999.21781255187,-2.74359866535467
"35","CH4","Austria",1993,9763.05883294139,9724.87940610079,0.392595375698416
"36","CH4","Austria",1994,9466.26301658669,9763.05883294139,-3.03998799385788
"37","CH4","Austria",1995,9382.09182903982,9466.26301658669,-0.889170176228846
"38","CH4","Austria",1996,9075.42689292866,9382.09182903982,-3.26862006575077
"39","CH4","Austria",1997,8780.31561846468,9075.42689292866,-3.25176190548044
"40","CH4","Austria",1998,8612.59667665258,8780.31561846468,-1.9101698515187
"41","CH4","Austria",1999,8436.13067295747,8612.59667665258,-2.04892914785482
"42","CH4","Austria",2000,8224.68513253951,8436.13067295747,-2.5064279895019
"43","CH4","Austria",2001,8055.08307199452,8224.68513253951,-2.06211007244507
"44","CH4","Austria",2002,7919.36149717026,8055.08307199452,-1.68491837528193
"45","CH4","Austria",2003,7852.3154417443,7919.36149717026,-0.846609356700242
"46","CH4","Austria",2004,7847.12621927825,7852.3154417443,-0.0660852522360946
"47","CH4","Austria",2005,7612.58477699187,7847.12621927825,-2.98888326417097
"48","CH4","Austria",2006,7492.24498987554,7612.58477699187,-1.58080061689483
"49","CH4","Austria",2007,7372.40567418188,7492.24498987554,-1.59951143956987
"50","CH4","Austria",2008,7228.03208157168,7372.40567418188,-1.95829691135685
"51","CH4","Austria",2009,7116.4484276918,7228.03208157168,-1.54376257078837
"52","CH4","Austria",2010,7007.82327217762,7116.4484276918,-1.52639559771829
"53","CH4","Austria",2011,6800.73105991002,7007.82327217762,-2.95515746080235
"54","CH4","Austria",2012,6680.69154897539,6800.73105991002,-1.76509716201332
"55","CH4","Austria",2013,6572.80099988259,6680.69154897539,-1.61496079113766
"56","CH4","Austria",2014,6431.70085792922,6572.80099988259,-2.14672773382141
"57","CH4","Austria",2015,6353.77525705837,6431.70085792922,-1.21158621322975
"58","CH4","Austria",2016,6282.52136716284,6353.77525705837,-1.12144177300534
"59","CH4","Austria",2017,6256.42723057855,6282.52136716284,-0.415344971537662
"60","CH4","Austria",2018,6047.18102825725,6256.42723057855,-3.34449989761889
"61","CH4","Austria",2019,5914.32911218532,6047.18102825725,-2.19692308616428
"62","CH4","Austria",2020,5819.44099899718,5914.32911218532,-1.60437661462974
"63","CH4","Belarus",1990,20841.8162765245,NA,NA
"64","CH4","Belarus",1991,19936.603912319,20841.8162765245,-4.34325085777242
"65","CH4","Belarus",1992,18641.6740863826,19936.603912319,-6.49523776281801
"66","CH4","Belarus",1993,17737.9612841701,18641.6740863826,-4.84780925803573
"67","CH4","Belarus",1994,17058.9058062826,17737.9612841701,-3.82826113446029
"68","CH4","Belarus",1995,16200.4462582997,17058.9058062826,-5.03232480284134
"69","CH4","Belarus",1996,15721.2889421151,16200.4462582997,-2.95767973637839
"70","CH4","Belarus",1997,15733.187000636,15721.2889421151,0.0756811897848135
"71","CH4","Belarus",1998,15726.4039798261,15733.187000636,-0.0431128213859413
"72","CH4","Belarus",1999,15403.5496185876,15726.4039798261,-2.05294459974867
"73","CH4","Belarus",2000,15224.6683602791,15403.5496185876,-1.16129893912662
"74","CH4","Belarus",2001,15104.9784515077,15224.6683602791,-0.786157740444896
"75","CH4","Belarus",2002,15021.3871809648,15104.9784515077,-0.553402117131497
"76","CH4","Belarus",2003,14962.3797622613,15021.3871809648,-0.392822700011855
"77","CH4","Belarus",2004,15200.9308134679,14962.3797622613,1.5943389687801
"78","CH4","Belarus",2005,15651.210810209,15200.9308134679,2.96218700201014
"79","CH4","Belarus",2006,16020.1040815398,15651.210810209,2.35696315003422
"80","CH4","Belarus",2007,16046.8903851914,16020.1040815398,0.16720430476146
"81","CH4","Belarus",2008,16263.4842544949,16046.8903851914,1.34975602191052
"82","CH4","Belarus",2009,16238.641052791,16263.4842544949,-0.152754485540422
"83","CH4","Belarus",2010,16652.6421214247,16238.641052791,2.54948100206047
"84","CH4","Belarus",2011,16676.9976542668,16652.6421214247,0.146256267711222
"85","CH4","Belarus",2012,16970.6794376556,16676.9976542668,1.76099912872303
"86","CH4","Belarus",2013,17322.2675991613,16970.6794376556,2.07173886465367
"87","CH4","Belarus",2014,17261.2183963911,17322.2675991613,-0.352431934333784
"88","CH4","Belarus",2015,17145.7153434918,17261.2183963911,-0.669147740598949
"89","CH4","Belarus",2016,17038.8945180869,17145.7153434918,-0.623017606818288
"90","CH4","Belarus",2017,17226.0903625488,17038.8945180869,1.09863843727178
"91","CH4","Belarus",2018,17437.5804641352,17226.0903625488,1.22773129093878
"92","CH4","Belarus",2019,17563.3317002994,17437.5804641352,0.721150714818719
"93","CH4","Belarus",2020,17236.8221181984,17563.3317002994,-1.85904125522741
"94","CH4","Belgium",1990,11517.5973540222,NA,NA
"95","CH4","Belgium",1991,11477.5934553074,11517.5973540222,-0.347328505114218
"96","CH4","Belgium",1992,11400.2806000051,11477.5934553074,-0.6735981336449
"97","CH4","Belgium",1993,11203.1006175362,11400.2806000051,-1.72960639643214
"98","CH4","Belgium",1994,11233.9780894177,11203.1006175362,0.275615411622455
"99","CH4","Belgium",1995,11297.7651787998,11233.9780894177,0.567805000814332
"100","CH4","Belgium",1996,11160.7086250598,11297.7651787998,-1.2131297789512
"101","CH4","Belgium",1997,11043.3193677658,11160.7086250598,-1.05180827882577
"102","CH4","Belgium",1998,10869.6611540706,11043.3193677658,-1.57251826114971
"103","CH4","Belgium",1999,10629.5556135728,10869.6611540706,-2.20895147598858
"104","CH4","Belgium",2000,10217.4102980359,10629.5556135728,-3.87735226683075
"105","CH4","Belgium",2001,9796.52659812968,10217.4102980359,-4.11927961811544
"106","CH4","Belgium",2002,9395.48830365912,9796.52659812968,-4.09367841197027
"107","CH4","Belgium",2003,8876.1681000674,9395.48830365912,-5.52733595963787
"108","CH4","Belgium",2004,8818.27393510632,8876.1681000674,-0.652242773102066
"109","CH4","Belgium",2005,8597.87083750187,8818.27393510632,-2.49939046151656
"110","CH4","Belgium",2006,8510.99519147479,8597.87083750187,-1.01043209032809
"111","CH4","Belgium",2007,8406.88379521494,8510.99519147479,-1.22325760874751
"112","CH4","Belgium",2008,8239.60338381611,8406.88379521494,-1.98980282675068
"113","CH4","Belgium",2009,8175.36850403328,8239.60338381611,-0.779587035815298
"114","CH4","Belgium",2010,8151.52462297771,8175.36850403328,-0.291655122870689
"115","CH4","Belgium",2011,7916.44086031179,8151.52462297771,-2.88392384908292
"116","CH4","Belgium",2012,7874.13677624432,7916.44086031179,-0.534382619840656
"117","CH4","Belgium",2013,7723.21055469742,7874.13677624432,-1.91673355233342
"118","CH4","Belgium",2014,7577.63830436314,7723.21055469742,-1.88486704205856
"119","CH4","Belgium",2015,7589.98113810852,7577.63830436314,0.16288496823968
"120","CH4","Belgium",2016,7544.44007157265,7589.98113810852,-0.600015542953241
"121","CH4","Belgium",2017,7386.82264967756,7544.44007157265,-2.08918647904687
"122","CH4","Belgium",2018,7313.03739056,7386.82264967756,-0.99887681912575
"123","CH4","Belgium",2019,7241.60056436466,7313.03739056,-0.976842075052884
"124","CH4","Belgium",2020,7098.80722634026,7241.60056436466,-1.97184775320355
"125","CH4","Bulgaria",1990,13063.800429896,NA,NA
"126","CH4","Bulgaria",1991,12020.1736014057,13063.800429896,-7.98869237241255
"127","CH4","Bulgaria",1992,11671.6409901238,12020.1736014057,-2.89956387352959
"128","CH4","Bulgaria",1993,10555.6530609743,11671.6409901238,-9.56153406443718
"129","CH4","Bulgaria",1994,8780.08287418209,10555.6530609743,-16.8210358614072
"130","CH4","Bulgaria",1995,8899.85733486627,8780.08287418209,1.36416093561461
"131","CH4","Bulgaria",1996,8904.38457538466,8899.85733486627,0.0508686864075177
"132","CH4","Bulgaria",1997,8587.69049750093,8904.38457538466,-3.55660826643991
"133","CH4","Bulgaria",1998,8034.19656821146,8587.69049750093,-6.44520118011402
"134","CH4","Bulgaria",1999,7648.38041049706,8034.19656821146,-4.80217473444626
"135","CH4","Bulgaria",2000,7585.48892555669,7648.38041049706,-0.822285001071001
"136","CH4","Bulgaria",2001,6943.32017909704,7585.48892555669,-8.46575287053791
"137","CH4","Bulgaria",2002,7241.40114087785,6943.32017909704,4.29306087134202
"138","CH4","Bulgaria",2003,7876.64264411134,7241.40114087785,8.77235621774272
"139","CH4","Bulgaria",2004,7425.77404873235,7876.64264411134,-5.72412150392609
